CAR_ID,品牌系列,简称,挡位个数,变速箱类型
69962,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69963,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72179,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69966,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69969,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72177,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69968,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72176,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72175,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69970,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72178,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72174,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69967,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69965,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69971,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72181,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
69964,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72180,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72173,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
72182,奔驰E级,9挡手自一体,9,手自一体变速箱(AT)
70200,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
70197,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72169,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72172,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
70193,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
70199,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
70198,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72170,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72168,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72167,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
72171,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
70195,奔驰GLC,9挡手自一体,9,手自一体变速箱(AT)
71972,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
71962,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
69626,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
71923,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
69596,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
69625,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
69627,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
69628,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
71924,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
71973,奔驰C级,9挡手自一体,9,手自一体变速箱(AT)
72315,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
70263,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
70262,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
72316,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
72313,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
70264,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
72314,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
70265,奔驰GLE,9挡手自一体,9,手自一体变速箱(AT)
71821,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
71819,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
71820,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
71818,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
67448,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
67449,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
67450,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
67451,奔驰S级,9挡手自一体,9,手自一体变速箱(AT)
70558,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
67444,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
70557,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
68040,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
72308,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
72306,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
68041,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
61337,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
67446,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
70555,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
72307,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
70556,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
54579,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
67445,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
72305,迈巴赫S级,9挡手自一体,9,手自一体变速箱(AT)
