CAR_ID,品牌系列,中央差速器锁止功能,限滑差速器/差速锁,低速四驱,蠕行模式,坦克转弯,拖挂钩,拖车取电口
65978,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
65977,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
66721,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
66524,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
67435,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
68065,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
67436,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
63735,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),,,,
60867,AMG GT,,(选配)后桥差速锁,,,,,
67636,AMG GT,,,,,,,
60868,AMG GT,,,,,,,
61395,奔驰GLE AMG,,,,,,,
70923,奔驰GLE AMG,,(标配)后桥差速锁,,,,,
62313,奔驰GLS AMG,,(标配)后桥差速锁,,,,,
67883,奔驰G级新能源,,,(标配),(标配),(标配),,
67866,奔驰C级AMG新能源,,(标配)后桥限滑差速器,,,,,
1016346,乌尼莫克U5023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",,,,,
1016347,乌尼莫克U4023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",,,,,
68089,宝马4系,,,,,,,
62545,宝马4系,,,,,,,
62537,宝马4系,,,,,,,
62543,宝马4系,,(选配)后桥限滑差速器,,,,,
62541,宝马4系,,(选配)后桥限滑差速器,,,,,
62542,宝马4系,,(选配)后桥限滑差速器,,,,,
62538,宝马4系,,,,,,,
62539,宝马4系,,,,,,,
62540,宝马4系,,,,,,,
68088,宝马4系,,,,,,,
68087,宝马4系,,,,,,,
68086,宝马4系,,,,,,,
69184,宝马4系,,(选配)后桥限滑差速器,,,,,
62544,宝马4系,,(选配)后桥限滑差速器,,,,,
69183,宝马4系,,(选配)后桥限滑差速器,,,,,
59249,宝马X7,,(选配)后桥差速锁,,,,,
59247,宝马X7,,(选配)后桥差速锁,,,,,
59248,宝马X7,,(选配)后桥差速锁,,,,,
59246,宝马X7,,(选配)后桥差速锁,,,,,
68903,宝马X7,,(选配)后桥差速锁,,,,,
68904,宝马X7,,(选配)后桥差速锁,,,,,
65130,宝马X6,,,,,,,
63347,宝马X6,,,,,,,
63348,宝马X6,,"(选配)后桥限滑差速器,(选配)后桥差速锁",,,,,
