CAR_ID,品牌系列,车型名称,厂商指导价(元),经销商报价,厂商,级别,能源类型,环保标准,上市时间,最大功率(kW),最大扭矩(N·m),变速箱,车身结构,发动机,长*宽*高(mm),官方0-100km/h加速(s),最高车速(km/h),WLTC综合油耗(L/100km),整车质保,整备质量(kg),最大满载质量(kg),官方0-50km/h加速(s),WLTC纯电续航里程(km),电池快充时间(小时),电池慢充时间(小时),电池快充电量范围(%),电池慢充电量范围(%),电动机(Ps),最低荷电状态油耗(L/100km)WLTC,电能当量燃料消耗量(L/100km),CLTC纯电续航里程(km),最低荷电状态油耗(L/100km),油电综合燃料消耗量(L/100km),NEDC综合油耗(L/100km),NEDC纯电续航里程(km),实测0-100km/h加速(s),实测100-0km/h制动(m),实测油耗(L/100km),实测续航里程(km),最低荷电状态油耗(L/100km)NEDC,实测快充时间(小时),实测最低荷电状态油耗(L/100km),实测平均电耗(kWh/100km),实测电池快充电量范围(%),准拖挂车总质量(kg),首任车主质保政策,最低荷电状态油耗(L/100km)CLTC,官方100-0km/h制动(m)
69962,奔驰E级,奔驰E级 2025款 改款 E 260 L,45.18万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1890,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,
69963,奔驰E级,奔驰E级 2025款 E 260 L,45.18万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1880,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,
72179,奔驰E级,奔驰E级 2025款 E 260 L 运动型,45.18万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1880,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,
69966,奔驰E级,奔驰E级 2025款 E 260 L 4MATIC,47.78万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.55,(标配)三年不限公里,1950,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,
69969,奔驰E级,奔驰E级 2025款 E 260 L 4MATIC 运动型,47.78万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.55,(标配)三年不限公里,1950,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,
72177,奔驰E级,奔驰E级 2025款 E 300 L 时尚型,49.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
69968,奔驰E级,奔驰E级 2025款 E 300 L 时尚运动型,49.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72176,奔驰E级,奔驰E级 2025款 E 300 L 豪华型,52.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72175,奔驰E级,奔驰E级 2025款 E 300 L 豪华运动型,52.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
69970,奔驰E级,奔驰E级 2025款 E 300 L 尊贵型,59.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72178,奔驰E级,奔驰E级 2025款 E 300 L 尊贵运动型,59.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72174,奔驰E级,奔驰E级 2025款 改款 E 260 L 运动型,45.18万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1890,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,
69967,奔驰E级,奔驰E级 2025款 改款 E 260 L 4MATIC,47.78万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.6,(标配)三年不限公里,1955,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,
69965,奔驰E级,奔驰E级 2025款 改款 E 260 L 4MATIC 运动型,47.78万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.6,(标配)三年不限公里,1955,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,
69971,奔驰E级,奔驰E级 2025款 改款 E 300 L 时尚型,49.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72181,奔驰E级,奔驰E级 2025款 改款 E 300 L 时尚运动型,49.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
69964,奔驰E级,奔驰E级 2025款 改款 E 300 L 豪华型,52.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72180,奔驰E级,奔驰E级 2025款 改款 E 300 L 豪华运动型,52.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72173,奔驰E级,奔驰E级 2025款 改款 E 300 L 尊贵型,59.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
72182,奔驰E级,奔驰E级 2025款 改款 E 300 L 尊贵运动型,59.98万,暂无报价,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,
