CAR_ID,品牌系列,外后视镜功能,电子外后视镜功能
69962,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69963,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
72179,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69966,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69969,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
72177,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
69968,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
72176,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
72175,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
69970,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
72178,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
72174,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69967,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69965,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜加热,(标配)锁车自动折叠",
69971,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
72181,奔驰E级,"(标配)电动调节,(标配)电动折叠,(标配)后视镜记忆,(标配)后视镜加热,(标配)倒车自动下翻,(标配)锁车自动折叠,(标配)自动防眩目",
