CAR_ID,品牌系列,天窗类型,前/后电动车窗,车窗一键升降功能,车窗防夹手功能,侧窗多层隔音玻璃,后风挡遮阳帘,后排侧窗遮阳帘,车内化妆镜,后雨刷,感应雨刷功能,后排侧隐私玻璃,可加热喷水嘴,星空天窗,光感天幕
69962,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69963,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72179,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69966,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69969,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72177,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69968,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72176,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(选配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72175,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(选配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69970,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72178,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72174,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69967,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69965,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69971,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72181,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69964,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(选配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72180,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(选配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72173,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72182,奔驰E级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
70200,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
70197,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72169,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72172,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
70193,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
70199,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
70198,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72170,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72168,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72167,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72171,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
70195,奔驰GLC,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
71972,奔驰C级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71962,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69626,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71923,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69596,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69625,奔驰C级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69627,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69628,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71924,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71973,奔驰C级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72315,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(选配),,
70263,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(选配),,
70262,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),(选配),,
72316,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),(选配),,
72313,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(选配),,
70264,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(选配),,
72314,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),(选配),,
70265,奔驰GLE,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),(选配),,
71821,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71819,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
71820,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
71818,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
67448,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
67449,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
67450,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
67451,奔驰S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
70558,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
