CAR_ID,品牌系列,驱动方式,四驱形式,中央差速器结构,前悬架类型,后悬架类型,助力类型,车体结构
69962,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69963,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72179,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69966,奔驰E级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69969,奔驰E级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72177,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69968,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72176,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72175,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69970,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72178,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72174,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69967,奔驰E级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69965,奔驰E级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69971,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72181,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69964,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72180,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72173,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72182,奔驰E级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70200,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70197,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72169,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72172,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70193,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70199,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70198,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72170,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72168,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72167,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72171,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70195,奔驰GLC,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71972,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71962,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69626,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71923,奔驰C级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69596,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69625,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69627,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69628,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71924,奔驰C级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71973,奔驰C级,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72315,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70263,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70262,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72316,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72313,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70264,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72314,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70265,奔驰GLE,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71821,奔驰S级,(标配)前置后驱,,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71819,奔驰S级,(标配)前置后驱,,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71820,奔驰S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71818,奔驰S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67448,奔驰S级,(标配)前置后驱,,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67449,奔驰S级,(标配)前置后驱,,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67450,奔驰S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
