CAR_ID,品牌系列,方向盘材质,方向盘位置调节,换挡形式,多功能方向盘,方向盘换挡,方向盘加热,方向盘记忆,行车电脑显示屏幕,全液晶仪表盘,液晶仪表尺寸,HUD抬头数字显示,内后视镜功能,ETC装置,AR-HUD增强现实抬头显示,HUD抬头尺寸,仪表盘屏幕材质,仪表盘屏幕分辨率（px）
69962,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69963,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72179,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69966,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69969,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72177,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69968,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72176,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72175,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
69970,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72178,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72174,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69967,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69965,奔驰E级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69971,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72181,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69964,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72180,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72173,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72182,奔驰E级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70200,奔驰GLC,(标配)皮质,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
70197,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72169,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72172,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
70193,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70199,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70198,奔驰GLC,(标配)皮质,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72170,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72168,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72167,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72171,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70195,奔驰GLC,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
71972,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)手动防眩目,(选配),,,,
71962,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
69626,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
71923,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
69596,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
69625,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)手动防眩目,(选配),,,,
69627,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
