CAR_ID,品牌系列,主动式多仿形座椅,裸眼3D数字仪表屏,主动式多仿形座椅组件,智能魔术车身控制系统,多仿形座椅,MBUX智能人机交互系统实景穿越导航,AMG 扰流板,AMG Track Pace,畅新空气护盾,主动式环境氛围照明系统,主动式环境氛围灯,智能数字大灯DIGITAL LIGHT,M高性能卡钳,M运动型排气系统,星空全景天窗,循迹倒车,BMW环形光耀格栅,M运动型排气,魔毯智能空气悬挂系统,炫影光幕格栅	,炫影光幕格栅,Brembo赛车级刹车系统,自适应旋转悬浮Pad,智能扭矩控制系统i-TAC,遥控驾驶,全息透明影像系统,移动电站,舒奢一体式升舱顶,手机遥控泊车,碳纤维车顶,陶瓷刹车盘,魔术感应门,福祉座椅,Brembo布雷博制动卡钳,AR实景导航,对外供电功能,运动型排气系统,Sport Chrono 计时器表盘,HomeLink,Sport Chrono组件,带模式开关的Sport Chrono组件,中央锁止轮毂,智能召唤,“梦想之翼”前组合灯动态迎宾效果,“北斗之翼”后组合灯动态迎宾效果,侧旗标灯,nanoeTM纳米水离子,十周年纪念版内饰,Brembo刹车系统,三指导航飞屏,人车家生态空间,生态拓展空间,双屏互动带三指飞屏功能,三指飞屏（双屏导航互动）,三指飞屏（双屏导航共享）,第二排魔法吧台,540°全景影像系统(带透明底盘),影院幕布式遮物帘
70558,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67444,迈巴赫S级,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70557,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68040,迈巴赫S级,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72308,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72306,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68041,迈巴赫S级,(标配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61337,迈巴赫S级,(标配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67446,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70555,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72307,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70556,迈巴赫S级,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54579,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67445,迈巴赫S级,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72305,迈巴赫S级,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
