CAR_ID,品牌系列,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合功率(Ps),系统综合扭矩(N·m),驱动电机数,电机布局,三电系统质保,前电动机最大功率(kW),前电动机最大扭矩(N·m),前电动机型号,后电动机型号,前电动机品牌,后电动机品牌,三电首任车主质保政策
70273,奔驰GLE新能源,,100,136,440,100,440,280,381,650,单电机,后置,(标配)八年或12万公里,,,,,,,
68559,奔驰E级新能源,永磁/同步,95,129,440,,,230,313,550,单电机,前置,(标配)八年或12万公里,95,440,,,,,
65775,奔驰E级新能源,永磁/同步,95,129,440,,,230,313,550,单电机,前置,(标配)八年或12万公里,95,440,,,,,
70754,奔驰EQE,永磁/同步,300,408,858,215,556,,,,双电机,前置+后置,,135,302,EM0030,EM0027,,,
70753,奔驰EQE,永磁/同步,300,408,858,215,556,,,,双电机,前置+后置,,135,302,EM0030,EM0027,,,
69750,奔驰EQE,永磁/同步,300,408,858,215,556,,,,双电机,前置+后置,,135,302,EM0030,EM0027,,,
69333,奔驰EQB,永磁/同步,140,190,380,,,,,,单电机,前置,(标配)八年或16万公里,140,380,,,,,
69332,奔驰EQB,前感应/异步 后永磁/同步,215,292,520,70,,,,,双电机,前置+后置,(标配)八年或16万公里,150,,,,,,
69334,奔驰EQA,永磁/同步,140,190,380,,,,,,单电机,前置,(标配)八年或16万公里,140,380,EM0026,,,,
69745,奔驰C级新能源,永磁/同步,95,129,440,,,250,340,600,单电机,前置,(标配)八年或12万公里,95,440,,,,,
71974,奔驰C级新能源,永磁/同步,95,129,440,,,250,340,600,单电机,前置,(标配)八年或12万公里,95,440,,,,,
61685,奔驰EQS,永磁/同步,245,333,568,245,568,,,,单电机,后置,(标配)十年或25万公里,,,,,,,
61683,奔驰EQS,永磁/同步,245,333,568,245,568,,,,单电机,后置,(标配)十年或25万公里,,,,,,,
61684,奔驰EQS,永磁/同步,380,517,855,245,568,,,,双电机,前置+后置,(标配)十年或25万公里,135,287,,,,,
67883,奔驰G级新能源,永磁/同步,432,588,1164,216,,,,,四电机,前置+后置,,216,,,,,,
68264,奔驰GLC新能源,永磁/同步,115,156,440,,,250,340,600,单电机,前置,(标配)八年或12万公里,115,440,EM0017,,,,
71117,奔驰S级AMG新能源,永磁/同步,140,190,320,140,320,590,802,1430,单电机,后置,,,,,EMA001,,,
67865,奔驰S级AMG新能源,永磁/同步,140,190,320,140,320,590,802,1430,单电机,后置,,,,,EMA001,,,
65986,奔驰S级新能源,永磁/同步,110,150,440,,,,300,,单电机,待查,,,,,,,,
71822,奔驰S级新能源,永磁/同步,110,150,440,,,,300,,单电机,待查,,,,,,,,
68011,迈巴赫EQS SUV,,470,638,950,300,,,,,双电机,前置+后置,,170,,EM0031,EM0028,,,
68012,迈巴赫EQS SUV,,470,638,950,300,,,,,双电机,前置+后置,,170,,EM0031,EM0028,,,
