CAR_ID,品牌系列,电池类型,WLTC纯电续航里程(km),电池能量(kWh),快充功能,电池快充时间(小时),电池慢充时间(小时),电池快充电量范围(%),电池慢充电量范围(%),慢充接口位置,快充接口位置,电芯品牌,电池冷却方式,百公里耗电量(kWh/100km),CLTC纯电续航里程(km),电池能量密度(Wh/kg),快充功率(kW),换电,电池组质保,NEDC纯电续航里程(km),电池特有技术,对外交流放电功率(kW),高压快充,高压平台（V）,CLTC综合续航(km),NEDC综合续航(km),对外放电最低允许值(%),WLTC综合续航(km),WLTP纯电续航里程(km),充电桩价格（元）,对外直流放电功率(kW)
70273,奔驰GLE新能源,(标配)锂离子电池,100,31.2,支持,0.33,2.5,10-80,0-100,车左后侧,车左后侧,,,,,,,,,,,,,,,,,,,,
68559,奔驰E级新能源,(标配)三元锂电池,106,25.4,选装,0.35,3,10-80,10-100,车右后侧,车左后侧,(标配)梅赛德斯-奔驰,液冷,17.4,,,,,,,,,,,,,,,,,
65775,奔驰E级新能源,(标配)三元锂电池,106,25.4,选装,0.35,3,10-80,10-100,车右后侧,车左后侧,(标配)梅赛德斯-奔驰,液冷,17.4,,,,,,,,,,,,,,,,,
70754,奔驰EQE,(标配)三元锂电池,,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,,,,,,,,,,,,,,
70753,奔驰EQE,(标配)三元锂电池,,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,,,,,,,,,,,,,,
69750,奔驰EQE,(标配)三元锂电池,,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,,,,,,,,,,,,,,
69333,奔驰EQB,(标配)三元锂电池,,73.5,支持,0.75,10.25,10-80,,车左后侧,车右后侧,(标配)孚能科技,液冷,13.2,600,188,,不支持,,,,,,,,,,,,,
69332,奔驰EQB,(标配)三元锂电池,,73.5,支持,0.75,10.25,10-80,,车左后侧,车右后侧,(标配)孚能科技,液冷,15.3,512,188,,不支持,,,,,,,,,,,,,
69334,奔驰EQA,(标配)三元锂电池,,73.5,支持,0.75,10.25,10-80,10-100,车左后侧,车右后侧,(标配)孚能科技,液冷,12.7,619,188,,,,,,,,,,,,,,,
69745,奔驰C级新能源,(标配)三元锂电池,126,25.4,选装,0.5,3.5,10-80,10-100,,,"(标配)惠州亿纬,(标配)青海弗迪",液冷,18.1,,,55,,,,,,,,,,,,,,
71974,奔驰C级新能源,(标配)三元锂电池,126,25.4,选装,0.5,3.5,10-80,10-100,,,"(标配)惠州亿纬,(标配)青海弗迪",液冷,18.1,,,55,,,,,,,,,,,,,,
61685,奔驰EQS,(标配)三元锂电池,,111.8,支持,0.62,,80,,,,(标配)宁德时代,,14.6,813,,145,,,,,,,,,,,,,,
61683,奔驰EQS,(标配)三元锂电池,,111.8,支持,0.62,,80,,,,(标配)宁德时代,,14.6,813,,145,,,,,,,,,,,,,,
61684,奔驰EQS,(标配)三元锂电池,,111.8,支持,0.62,,80,,,,(标配)宁德时代,,16.7,720,,145,,,,,,,,,,,,,,
67883,奔驰G级新能源,(标配)三元锂电池,,122,支持,0.62,18.81,10-80,10-100,车右后侧,车右后侧,,液冷,22.5,571,,,,(标配)十年或25万公里,,,,,,,,,,,,
68264,奔驰GLC新能源,(标配)磷酸铁锂电池,115,30.9,选装,0.5,4.5,10-80,0-100,车右后侧,车左后侧,(标配)弗迪,液冷,21.6,,,60,,,,,,,,,,,,,,
71117,奔驰S级AMG新能源,,,13.14,,,,,,车左后侧,,,,21.4,,,,,,,,,,,,,,,,,
67865,奔驰S级AMG新能源,,,13.14,,,,,,车左后侧,,,,21.4,,,,,,,,,,,,,,,,,
65986,奔驰S级新能源,,108,28.6,支持,0.33,3.25,80,,车右后侧,车右后侧,,,19.7,,,,,,,,,,,,,,,,,
71822,奔驰S级新能源,,108,28.6,支持,0.33,3.25,80,,车右后侧,车右后侧,,,19.7,,,,,,,,,,,,,,,,,
68011,迈巴赫EQS SUV,,,111.8,支持,0.61,,10-80,,车右后侧,车右后侧,,液冷,19.2,611,,,,,,,,,,,,,,,,
68012,迈巴赫EQS SUV,,,111.8,支持,0.61,,10-80,,车右后侧,车右后侧,,液冷,19.2,611,,,,,,,,,,,,,,,,
67866,奔驰C级AMG新能源,(标配)锂离子电池,,,,,,,,,,,液冷,,,,,,,,,,,,,,,,,,
71311,AMG GT新能源,(标配)三元锂电池,,6.1,,,,,,,,,液冷,6.9,13,,,,,,,,,,,,,,,,
61518,迈巴赫S级新能源,(标配)三元锂电池,94,,,,,,,,,,液冷,,,,,,,,,,,,,,,,,,
61039,奔驰EQS SUV,(标配)三元锂电池,,111.8,支持,0.62,16,80,,,,,液冷,16.2,742,,145,不支持,,,,,,,,,,,,,
61040,奔驰EQS SUV,(标配)三元锂电池,,111.8,支持,0.62,16,80,,,,,液冷,17.9,673,,145,不支持,,,,,,,,,,,,,
61041,奔驰EQS SUV,(标配)三元锂电池,,111.8,支持,0.62,16,80,,,,,液冷,17.9,670,,145,不支持,,,,,,,,,,,,,
69663,奔驰EQE SUV AMG,(标配)三元锂电池,,96.1,支持,0.58,,10-80,,车右后侧,车右后侧,(标配)孚能科技,液冷,21,490,,,,,,,,,,,,,,,,
62689,奔驰EQE AMG,(标配)三元锂电池,,96.1,支持,,,,,,,,,18.5,568,,,,,,,,,,,,,,,,
61343,奔驰EQS AMG,(标配)三元锂电池,,111.8,支持,0.62,,80,,,,,液冷,20,601,,145,,,,,,,,,,,,,,
60653,奔驰GLE轿跑新能源,(标配)锂离子电池,,31.2,支持,0.33,3.5,80,,,,,,21.4,,,,,,88,,,,,,,,,,,
68372,宝马i3,(标配)三元锂电池,,70,支持,0.52,10.75,10-80,0-100,,,(标配)宁德时代,液冷,14.3,526,138,,不支持,(标配)八年或16万公里,,,,,,,,,,,,
68371,宝马i3,(标配)三元锂电池,,79.05,支持,0.53,12.25,10-80,0-100,,,(标配)宁德时代,液冷,14.1,592,140,,不支持,(标配)八年或16万公里,,,,,,,,,,,,
68373,宝马i3,(标配)三元锂电池,,79.05,支持,0.53,12.25,10-80,0-100,,,(标配)宁德时代,液冷,14.1,592,140,,不支持,(标配)八年或16万公里,,,,,,,,,,,,
66608,宝马iX3,(标配)三元锂电池,,80,支持,0.75,7.5,80,,,,(标配)华晨宝马,液冷,15.2,540,154,,不支持,(标配)八年或16万公里,,,,,,,,,,,,
66549,宝马iX3,(标配)三元锂电池,,80,支持,0.75,7.5,80,,,,(标配)华晨宝马,液冷,15.5,530,154,,不支持,(标配)八年或16万公里,,,,,,,,,,,,
71929,宝马i5,(标配)三元锂电池,,81.6,支持,0.55,13,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.4,618,,,,(标配)八年或16万公里,,,,,,,,,,,,
65490,宝马i5,(标配)三元锂电池,,81.6,支持,0.55,13,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.4,618,,,,(标配)八年或16万公里,,,,,,,,,,,,
69425,宝马i5,(标配)三元锂电池,,96.96,支持,0.55,15.5,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.7,713,,,,(标配)八年或16万公里,,,,,,,,,,,,
66249,宝马i5,(标配)三元锂电池,,96.96,支持,0.55,15.5,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.7,713,,,,(标配)八年或16万公里,,,,,,,,,,,,
69426,宝马i5,(标配)三元锂电池,,96.96,支持,0.55,15.5,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,16,651,,,,(标配)八年或16万公里,,,,,,,,,,,,
66503,宝马i5,(标配)三元锂电池,,96.96,支持,0.55,15.5,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,16,651,,,,(标配)八年或16万公里,,,,,,,,,,,,
64091,宝马i5,(标配)三元锂电池,,79.05,支持,0.53,8.25,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.8,567,,200,,(标配)八年或16万公里,,,,,,,,,,,,
66521,宝马i5,(标配)三元锂电池,,79.05,支持,0.53,8.25,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,14.8,567,,200,,(标配)八年或16万公里,,,,,,,,,,,,
66262,宝马i5,(标配)三元锂电池,,79.05,支持,0.53,8.25,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,15.6,536,,200,,(标配)八年或16万公里,,,,,,,,,,,,
71928,宝马i5,(标配)三元锂电池,,79.05,支持,0.53,8.25,10-80,0-100,车左前侧,车右后侧,(标配)宁德时代,液冷,15.6,536,,200,,(标配)八年或16万公里,,,,,,,,,,,,
62550,宝马iX1,(标配)三元锂电池,,,支持,0.53,10.5,10-80,0-100,车左前侧,车右后侧,(标配)亿纬动力,液冷,14.2,510,,,,(标配)八年或16万公里,,,,,,,,,,,,
64433,宝马iX1,(标配)三元锂电池,,,支持,0.53,10.5,10-80,0-100,车左前侧,车右后侧,(标配)亿纬动力,液冷,14.2,510,,,,(标配)八年或16万公里,,,,,,,,,,,,
64434,宝马iX1,(标配)三元锂电池,,66.45,支持,0.53,7,10-80,0-100,车左前侧,车右后侧,(标配)亿纬动力,液冷,16.3,450,,,,(标配)八年或16万公里,,,,,,,,,,,,
64455,宝马iX1,(标配)三元锂电池,,66.45,支持,0.53,7,10-80,0-100,车左前侧,车右后侧,(标配)亿纬动力,液冷,16.3,450,,,,(标配)八年或16万公里,,,,,,,,,,,,
63899,宝马iX,(标配)三元锂电池,,76.6,支持,0.68,7.5,80,,,,"(标配)宁德时代,(标配)亿纬锂能,(标配)三星SDI",液冷,17.7,471,,,,(标配)八年或16万公里,,,,,,,,,,,,
63896,宝马iX,(标配)三元锂电池,,111.5,支持,0.82,11,80,,,,"(标配)宁德时代,(标配)亿纬锂能,(标配)三星SDI",液冷,18,665,,,,(标配)八年或16万公里,,,,,,,,,,,,
62587,宝马M760Le,(标配)三元锂电池,82,18.7,,,,,,,,,液冷,,,,,,(标配)八年或12万公里,,,,,,,,,,,,
62417,宝马i7,(标配)三元锂电池,,101.7,支持,0.93,10.5,80%,100%,,,,液冷,18.2,640,,,,(标配)八年或16万公里,,,,,,,,,,,,
62416,宝马i7,(标配)三元锂电池,,101.7,支持,0.93,10.5,80%,100%,,,,液冷,18.2,640,,,,(标配)八年或16万公里,,,,,,,,,,,,
56703,宝马i7,(标配)三元锂电池,,101.7,支持,0.93,10.5,80%,100%,,,,液冷,18.2,640,,,,(标配)八年或16万公里,,,,,,,,,,,,
62415,宝马i7,(标配)三元锂电池,,101.7,支持,0.93,10.5,80%,100%,,,,液冷,18.2,640,,,,(标配)八年或16万公里,,,,,,,,,,,,
60892,宝马i7,(标配)三元锂电池,,105.7,支持,0.93,10.5,80%,100%,,,,液冷,17.9,650,,,,(标配)八年或16万公里,,,,,,,,,,,,
62414,宝马i7,(标配)三元锂电池,,105.7,支持,0.93,10.5,80%,100%,,,,液冷,17.9,650,,,,(标配)八年或16万公里,,,,,,,,,,,,
57156,宝马XM,(标配)三元锂电池,80,25.7,,,4.25,,,,,,液冷,,,,,,(标配)八年或12万公里,,,,,,,,,,,,
62420,宝马XM,(标配)三元锂电池,78,25.7,,,4.25,,,,,,液冷,,,,,,(标配)八年或12万公里,,,,,,,,,,,,
