CAR_ID,品牌系列,主/副驾驶座安全气囊,前/后排侧气囊,前/后排头部气囊(气帘),膝部气囊,前排中间气囊,被动行人保护,后排正向安全气囊,缺气保用轮胎,后排中央安全气囊,副驾驶座垫式气囊
69962,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69963,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72179,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69966,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69969,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72177,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69968,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72176,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72175,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69970,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72178,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72174,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69967,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69965,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69971,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72181,奔驰E级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
69964,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72180,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72173,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
72182,奔驰E级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",(标配),(标配),,,,
70200,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70197,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72169,奔驰GLC,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72172,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70193,奔驰GLC,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70199,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70198,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72170,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72168,奔驰GLC,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72167,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72171,奔驰GLC,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
