CAR_ID,品牌系列,前制动器类型,后制动器类型,驻车制动类型,前轮胎规格,后轮胎规格,备胎规格,备胎放置方式
69962,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69963,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
72179,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69966,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69969,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
72177,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
69968,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
72176,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
72175,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
69970,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R20,(标配)275/35 R20,(标配)无,
72178,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R20,(标配)275/35 R20,(标配)无,
72174,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69967,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69965,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/55 R18,(标配)225/55 R18,(标配)无,
69971,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
72181,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
69964,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
72180,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
72173,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R20,(标配)275/35 R20,(标配)无,
72182,奔驰E级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R20,(标配)275/35 R20,(标配)无,
70200,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R19,(标配)235/55 R19,(标配)无,
70197,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R19,(标配)235/55 R19,(标配)无,
72169,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)235/55 R19,(选配)255/45 R20","(标配)235/55 R19,(选配)255/45 R20",(标配)无,
72172,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)235/55 R19,(选配)255/45 R20","(标配)235/55 R19,(选配)255/45 R20",(标配)无,
70193,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
70199,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
70198,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R19,(标配)235/55 R19,(标配)无,
72170,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R19,(标配)235/55 R19,(标配)无,
72168,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)235/55 R19,(选配)255/45 R20","(标配)235/55 R19,(选配)255/45 R20",(标配)无,
72167,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)235/55 R19,(选配)255/45 R20","(标配)235/55 R19,(选配)255/45 R20",(标配)无,
