CAR_ID,品牌系列,扬声器品牌名称,扬声器数量,杜比全景声(Dolby Atmos),车内环境氛围灯,主动式环境氛围灯,触摸式阅读灯,车外扬声器数量
69962,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69963,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72179,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69966,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69969,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72177,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69968,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72176,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72175,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
69970,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72178,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72174,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69967,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69965,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69971,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72181,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69964,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72180,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72173,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72182,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
70200,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
70197,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
