CAR_ID,品牌系列,巡航系统,辅助驾驶等级,卫星导航系统,导航路况信息显示,地图品牌,AR实景导航,并线辅助,车道保持辅助系统,车道居中保持,道路交通标识识别,自动泊车入位,自动变道辅助,匝道自动驶出(入),自动驾驶辅助路段,遥控泊车,方向盘离手检测,倒车车侧预警系统,记忆泊车,高精地图,循迹倒车,信号灯识别,起步提醒,辅助驾驶系统,代客泊车,夜视系统,远程召唤
69962,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69963,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72179,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69966,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69969,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72177,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
69968,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72176,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72175,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
69970,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72178,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72174,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69967,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69965,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
69971,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72181,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
69964,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72180,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72173,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
72182,奔驰E级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
70200,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
70197,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
72169,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
