CAR_ID,品牌系列,驾驶模式切换,发动机启停技术,自动驻车,上坡辅助,陡坡缓降,可变悬架功能,可变转向比,能量回收系统,空气悬架,整体主动转向系统,魔毯智能悬架,单踏板模式,电磁感应悬架
69962,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69963,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72179,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69966,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69969,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72177,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69968,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72176,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72175,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69970,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72178,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72174,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69967,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69965,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69971,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72181,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
69964,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72180,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72173,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
72182,奔驰E级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
70200,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
70197,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72169,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72172,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
70193,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
70199,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
70198,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72170,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72168,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72167,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72171,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
70195,奔驰GLC,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
71972,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
71962,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
69626,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
71923,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
69596,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
69625,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
69627,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
69628,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
71924,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
71973,奔驰C级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),(标配),,,,,
72315,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),,(标配),,,,,,
70263,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
70262,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
72316,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
72313,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),,(标配),,,,,,
70264,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
72314,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
70265,奔驰GLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
