CAR_ID,品牌系列,前/后驻车雷达,驾驶辅助影像,前方感知摄像头,摄像头数量,车内摄像头数量,超声波雷达数量,透明底盘/540度影像,毫米波雷达数量,前方感知摄像头像素,辅助驾驶芯片,芯片总算力,激光雷达数量,前方最大探测距离,激光雷达品牌,激光雷达线数,激光雷达10%反射率探测距离,环视摄像头像素,环境感知摄像头像素,激光雷达型号,激光雷达点云数量
69962,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
69963,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
72179,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
69966,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
69969,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
72177,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(选配)1个,(标配)12个,,,,,,,,,,,,,,
69968,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(选配)1个,(标配)12个,,,,,,,,,,,,,,
72176,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
72175,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
69970,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
72178,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
72174,奔驰E级,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,(标配)12个,,,,,,,,,,,,,,
