CAR_ID,品牌系列,发动机型号,排量_mL,排量_L,进气形式,发动机布局,气缸排列形式,气缸数_个,每缸气门数_个,配气机构,最大马力_Ps,最大功率_kW,最大功率转速_rpm,最大扭矩_N_m,最大扭矩转速_rpm,最大净功率_kW,能源类型,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,最低燃油标号,压缩比,缸径_mm,行程_mm,发动机特有技术
69962,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69963,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72179,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69966,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69969,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72177,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69968,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72176,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72175,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69970,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72178,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72174,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69967,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69965,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69971,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72181,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69964,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72180,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72173,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72182,奔驰E级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70200,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70197,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72169,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72172,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70193,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70199,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70198,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72170,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72168,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72167,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72171,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70195,奔驰GLC,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71972,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,170,125,5800,250,1800-4000,125,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71962,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69626,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71923,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69596,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69625,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,170,125,5800,250,1800-4000,125,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69627,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69628,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71924,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71973,奔驰C级,254 915,1496,1.5,涡轮增压,纵置,L,4,4,DOHC,204,150,6100,300,1800-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72315,奔驰GLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
