CAR_ID,品牌系列,中央差速器锁止功能,限滑差速器_差速锁,低速四驱,蠕行模式,坦克转弯,拖挂钩,拖车取电口
65978,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
65977,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
66721,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
66524,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
67435,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
68065,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
67436,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
63735,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
60867,AMG GT,无,(选配)后桥差速锁,无,无,无,无,无
67636,AMG GT,无,无,无,无,无,无,无
60868,AMG GT,无,无,无,无,无,无,无
61395,奔驰GLE AMG,无,无,无,无,无,无,无
70923,奔驰GLE AMG,无,(标配)后桥差速锁,无,无,无,无,无
62313,奔驰GLS AMG,无,(标配)后桥差速锁,无,无,无,无,无
67883,奔驰G级新能源,无,无,(标配),(标配),(标配),无,无
67866,奔驰C级AMG新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
1016346,乌尼莫克U5023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",无,无,无,无,无
1016347,乌尼莫克U4023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",无,无,无,无,无
68089,宝马4系,无,无,无,无,无,无,无
62545,宝马4系,无,无,无,无,无,无,无
62537,宝马4系,无,无,无,无,无,无,无
62543,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62541,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62542,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62538,宝马4系,无,无,无,无,无,无,无
62539,宝马4系,无,无,无,无,无,无,无
62540,宝马4系,无,无,无,无,无,无,无
68088,宝马4系,无,无,无,无,无,无,无
68087,宝马4系,无,无,无,无,无,无,无
68086,宝马4系,无,无,无,无,无,无,无
69184,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62544,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
69183,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
59249,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59247,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59248,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59246,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
68903,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
68904,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
65130,宝马X6,无,无,无,无,无,无,无
63347,宝马X6,无,无,无,无,无,无,无
63348,宝马X6,无,"(选配)后桥限滑差速器,(选配)后桥差速锁",无,无,无,无,无
67851,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
67850,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62945,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
67852,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62946,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62944,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
58578,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
69061,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
57218,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
69060,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
57568,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
57567,宝马8系,无,无,无,无,无,无,无
57566,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
57569,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
60755,宝马M2,无,(标配)后桥限滑差速器,无,无,无,无,无
68928,宝马M2,无,(标配)后桥限滑差速器,无,无,无,无,无
63476,宝马X5 M,无,(标配)后桥限滑差速器,无,无,无,无,无
71352,宝马M240i,无,(标配)后桥限滑差速器,无,无,无,无,无
69026,宝马M240i,无,(标配)后桥限滑差速器,无,无,无,无,无
