CAR_ID,品牌系列,车型名称,厂商指导价_元,厂商,级别,能源类型,环保标准,上市时间,最大功率_kW,最大扭矩_N_m,变速箱,车身结构,发动机,长_宽_高_mm,官方0_100km_h加速_s,最高车速_km_h,WLTC综合油耗_L_100km,整车质保,整备质量_kg,最大满载质量_kg,官方0_50km_h加速_s,WLTC纯电续航里程_km,电池快充时间_小时,电池慢充时间_小时,电池快充电量范围__,电池慢充电量范围__,电动机_Ps,最低荷电状态油耗_L_100kmWLTC,电能当量燃料消耗量_L_100km,CLTC纯电续航里程_km,最低荷电状态油耗_L_100km,油电综合燃料消耗量_L_100km,NEDC综合油耗_L_100km,NEDC纯电续航里程_km,实测0_100km_h加速_s,实测100_0km_h制动_m,实测油耗_L_100km,实测续航里程_km,最低荷电状态油耗_L_100kmNEDC,实测快充时间_小时,实测最低荷电状态油耗_L_100km,实测平均电耗_kWh_100km,实测电池快充电量范围__,准拖挂车总质量_kg,首任车主质保政策,最低荷电状态油耗_L_100kmCLTC,官方100_0km_h制动_m
69962,奔驰E级,奔驰E级 2025款 改款 E 260 L,45.18万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1890,2470,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69963,奔驰E级,奔驰E级 2025款 E 260 L,45.18万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1880,2470,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72179,奔驰E级,奔驰E级 2025款 E 260 L 运动型,45.18万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1880,2470,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69966,奔驰E级,奔驰E级 2025款 E 260 L 4MATIC,47.78万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.55,(标配)三年不限公里,1950,2540,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69969,奔驰E级,奔驰E级 2025款 E 260 L 4MATIC 运动型,47.78万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.55,(标配)三年不限公里,1950,2540,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72177,奔驰E级,奔驰E级 2025款 E 300 L 时尚型,49.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69968,奔驰E级,奔驰E级 2025款 E 300 L 时尚运动型,49.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72176,奔驰E级,奔驰E级 2025款 E 300 L 豪华型,52.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72175,奔驰E级,奔驰E级 2025款 E 300 L 豪华运动型,52.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69970,奔驰E级,奔驰E级 2025款 E 300 L 尊贵型,59.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
