CAR_ID,品牌系列,座椅材质,主座椅调节方式,副座椅调节方式,主_副驾驶座电动调节,前排座椅功能,电动座椅记忆功能,副驾驶位后排可调节按钮,第二排座椅调节,第二排座椅电动调节,第二排座椅功能,后排座椅放倒形式,前_后中央扶手,后排杯架,运动风格座椅,座椅布局,后排座椅电动放倒,加热_制冷杯架,后排小桌板,第二排独立座椅,第三排座椅功能,头颈暖风系统,第三排座椅调节,第三排座椅电动调节,零重力座椅,福祉座椅,前后移动扶手箱,可升降前后排车厢隔断
69962,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69963,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72179,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69966,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69969,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72177,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)靠背调节,(选配)腿托调节",(选配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69968,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)靠背调节,(选配)腿托调节",(选配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72176,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72175,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69970,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(标配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
