CAR_ID,品牌系列,电机类型,电动机总功率_kW,电动机总马力_Ps,电动机总扭矩_N_m,后电动机最大功率_kW,后电动机最大扭矩_N_m,系统综合功率_kW,系统综合功率_Ps,系统综合扭矩_N_m,驱动电机数,电机布局,三电系统质保,前电动机最大功率_kW,前电动机最大扭矩_N_m,前电动机型号,后电动机型号,前电动机品牌,后电动机品牌,三电首任车主质保政策
70273,奔驰GLE新能源,无,100,136,440,100,440,280,381,650,单电机,后置,(标配)八年或12万公里,无,无,无,无,无,无,无
68559,奔驰E级新能源,永磁/同步,95,129,440,无,无,230,313,550,单电机,前置,(标配)八年或12万公里,95,440,无,无,无,无,无
65775,奔驰E级新能源,永磁/同步,95,129,440,无,无,230,313,550,单电机,前置,(标配)八年或12万公里,95,440,无,无,无,无,无
70754,奔驰EQE,永磁/同步,300,408,858,215,556,无,无,无,双电机,前置+后置,无,135,302,EM0030,EM0027,无,无,无
70753,奔驰EQE,永磁/同步,300,408,858,215,556,无,无,无,双电机,前置+后置,无,135,302,EM0030,EM0027,无,无,无
69750,奔驰EQE,永磁/同步,300,408,858,215,556,无,无,无,双电机,前置+后置,无,135,302,EM0030,EM0027,无,无,无
69333,奔驰EQB,永磁/同步,140,190,380,无,无,无,无,无,单电机,前置,(标配)八年或16万公里,140,380,无,无,无,无,无
69332,奔驰EQB,前感应/异步 后永磁/同步,215,292,520,70,无,无,无,无,双电机,前置+后置,(标配)八年或16万公里,150,无,无,无,无,无,无
69334,奔驰EQA,永磁/同步,140,190,380,无,无,无,无,无,单电机,前置,(标配)八年或16万公里,140,380,EM0026,无,无,无,无
69745,奔驰C级新能源,永磁/同步,95,129,440,无,无,250,340,600,单电机,前置,(标配)八年或12万公里,95,440,无,无,无,无,无
71974,奔驰C级新能源,永磁/同步,95,129,440,无,无,250,340,600,单电机,前置,(标配)八年或12万公里,95,440,无,无,无,无,无
61685,奔驰EQS,永磁/同步,245,333,568,245,568,无,无,无,单电机,后置,(标配)十年或25万公里,无,无,无,无,无,无,无
