CAR_ID,品牌系列,电池类型,WLTC纯电续航里程_km,电池能量_kWh,快充功能,电池快充时间_小时,电池慢充时间_小时,电池快充电量范围__,电池慢充电量范围__,慢充接口位置,快充接口位置,电芯品牌,电池冷却方式,百公里耗电量_kWh_100km,CLTC纯电续航里程_km,电池能量密度_Wh_kg,快充功率_kW,换电,电池组质保,NEDC纯电续航里程_km,电池特有技术,对外交流放电功率_kW,高压快充,高压平台V,CLTC综合续航_km,NEDC综合续航_km,对外放电最低允许值__,WLTC综合续航_km,WLTP纯电续航里程_km,充电桩价格元,对外直流放电功率_kW
70273,奔驰GLE新能源,(标配)锂离子电池,100,31.2,支持,0.33,2.5,10-80,0-100,车左后侧,车左后侧,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68559,奔驰E级新能源,(标配)三元锂电池,106,25.4,选装,0.35,3,10-80,10-100,车右后侧,车左后侧,(标配)梅赛德斯-奔驰,液冷,17.4,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65775,奔驰E级新能源,(标配)三元锂电池,106,25.4,选装,0.35,3,10-80,10-100,车右后侧,车左后侧,(标配)梅赛德斯-奔驰,液冷,17.4,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70754,奔驰EQE,(标配)三元锂电池,无,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70753,奔驰EQE,(标配)三元锂电池,无,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69750,奔驰EQE,(标配)三元锂电池,无,96.1,支持,0.62,13,10-80,10-100,车右后侧,车右后侧,(标配)北京奔驰,液冷,15.2,681,172,122,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69333,奔驰EQB,(标配)三元锂电池,无,73.5,支持,0.75,10.25,10-80,无,车左后侧,车右后侧,(标配)孚能科技,液冷,13.2,600,188,无,不支持,无,无,无,无,无,无,无,无,无,无,无,无,无
69332,奔驰EQB,(标配)三元锂电池,无,73.5,支持,0.75,10.25,10-80,无,车左后侧,车右后侧,(标配)孚能科技,液冷,15.3,512,188,无,不支持,无,无,无,无,无,无,无,无,无,无,无,无,无
69334,奔驰EQA,(标配)三元锂电池,无,73.5,支持,0.75,10.25,10-80,10-100,车左后侧,车右后侧,(标配)孚能科技,液冷,12.7,619,188,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69745,奔驰C级新能源,(标配)三元锂电池,126,25.4,选装,0.5,3.5,10-80,10-100,无,无,"(标配)惠州亿纬,(标配)青海弗迪",液冷,18.1,无,无,55,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71974,奔驰C级新能源,(标配)三元锂电池,126,25.4,选装,0.5,3.5,10-80,10-100,无,无,"(标配)惠州亿纬,(标配)青海弗迪",液冷,18.1,无,无,55,无,无,无,无,无,无,无,无,无,无,无,无,无,无
61685,奔驰EQS,(标配)三元锂电池,无,111.8,支持,0.62,无,80,无,无,无,(标配)宁德时代,无,14.6,813,无,145,无,无,无,无,无,无,无,无,无,无,无,无,无,无
61683,奔驰EQS,(标配)三元锂电池,无,111.8,支持,0.62,无,80,无,无,无,(标配)宁德时代,无,14.6,813,无,145,无,无,无,无,无,无,无,无,无,无,无,无,无,无
61684,奔驰EQS,(标配)三元锂电池,无,111.8,支持,0.62,无,80,无,无,无,(标配)宁德时代,无,16.7,720,无,145,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67883,奔驰G级新能源,(标配)三元锂电池,无,122,支持,0.62,18.81,10-80,10-100,车右后侧,车右后侧,无,液冷,22.5,571,无,无,无,(标配)十年或25万公里,无,无,无,无,无,无,无,无,无,无,无,无
68264,奔驰GLC新能源,(标配)磷酸铁锂电池,115,30.9,选装,0.5,4.5,10-80,0-100,车右后侧,车左后侧,(标配)弗迪,液冷,21.6,无,无,60,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71117,奔驰S级AMG新能源,无,无,13.14,无,无,无,无,无,车左后侧,无,无,无,21.4,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67865,奔驰S级AMG新能源,无,无,13.14,无,无,无,无,无,车左后侧,无,无,无,21.4,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65986,奔驰S级新能源,无,108,28.6,支持,0.33,3.25,80,无,车右后侧,车右后侧,无,无,19.7,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71822,奔驰S级新能源,无,108,28.6,支持,0.33,3.25,80,无,车右后侧,车右后侧,无,无,19.7,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68011,迈巴赫EQS SUV,无,无,111.8,支持,0.61,无,10-80,无,车右后侧,车右后侧,无,液冷,19.2,611,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68012,迈巴赫EQS SUV,无,无,111.8,支持,0.61,无,10-80,无,车右后侧,车右后侧,无,液冷,19.2,611,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67866,奔驰C级AMG新能源,(标配)锂离子电池,无,无,无,无,无,无,无,无,无,无,液冷,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
