CAR_ID,品牌系列,长度_mm,宽度_mm,高度_mm,轴距_mm,前轮距_mm,后轮距_mm,接近角__,离去角__,车身结构,车门开启方式,车门数_个,座位数_个,油箱容积_L,后备厢容积_L,风阻系数_Cd,最小离地间隙_mm,最大涉水深度_mm,最小转弯半径_m,满载最小离地间隙_mm,纵向通过角__,最大爬坡度__,最大载重质量_kg,后排车门开启方式,前备厢容积_L,最大爬坡角度__,空载最小离地间隙_mm,氢瓶容积_L
69962,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69963,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72179,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69966,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69969,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72177,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69968,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72176,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72175,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69970,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72178,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72174,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69967,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69965,奔驰E级,5092,1880,1493,3094,1628,1641,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69971,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72181,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
69964,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72180,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72173,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
72182,奔驰E级,5092,1880,1493,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,66,无,0.23,无,无,无,无,无,无,无,无,无,无,无,无
70200,奔驰GLC,4826,1890,1714,2977,1623,1632,23,24,SUV,平开门,(标配)5,"(标配)5,(选配)7",66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
70197,奔驰GLC,4826,1890,1714,2977,1623,1632,23,24,SUV,平开门,(标配)5,"(标配)5,(选配)7",66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
72169,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)5,66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
72172,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)7,66,440,无,无,无,无,无,无,无,无,无,无,无,无,无
70193,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)5,66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
70199,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)7,66,440,无,无,无,无,无,无,无,无,无,无,无,无,无
70198,奔驰GLC,4826,1890,1714,2977,1623,1632,23,24,SUV,平开门,(标配)5,"(标配)5,(选配)7",66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
72170,奔驰GLC,4826,1890,1714,2977,1623,1632,23,24,SUV,平开门,(标配)5,"(标配)5,(选配)7",66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
72168,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)5,66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
72167,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)7,66,440,无,无,无,无,无,无,无,无,无,无,无,无,无
72171,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)5,66,550,无,无,无,无,无,无,无,无,无,无,无,无,无
70195,奔驰GLC,4826,1890,1714,2977,1623,1632,23,23,SUV,平开门,(标配)5,(标配)7,66,440,无,无,无,无,无,无,无,无,无,无,无,无,无
71972,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
71962,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
