CAR_ID,品牌系列,外观颜色,内饰颜色
69962,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69963,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
72179,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69966,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69969,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
72177,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
69968,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72176,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72175,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
69970,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72178,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72174,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69967,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69965,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕"
69971,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72181,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
69964,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72180,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72173,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
72182,奔驰E级,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海岳蓝,绿砾石银","黑色,黑色/孟加拉红,黑色/桐咖棕,黑色/星云灰"
70200,奔驰GLC,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海夜蓝,绿砾石银","黑色,黑色/烈焰红色,黑色/赭石棕色,赭石棕色"
70197,奔驰GLC,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海夜蓝,绿砾石银","黑色,黑色/烈焰红色,黑色/赭石棕色,赭石棕色"
72169,奔驰GLC,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海夜蓝,绿砾石银","黑色,黑色/烈焰红色,黑色/赭石棕色,赭石棕色"
72172,奔驰GLC,"曜岩黑,北极白,红宝石黑色,松石绿色,石墨灰,时空银,贝母白,海夜蓝,绿砾石银","黑色,黑色/烈焰红色,黑色/赭石棕色,赭石棕色"
